anyo,mes,dia,marca,modelo,cod_prov,provincia,canal,fuel_type,segmento,subseg,hp,body_type,count
2026,07,30,NISSAN,X-TRAIL,41,Sevilla,Corporate,ICE,KKL,REST,Standard,SUV,1
2026,07,30,OMODA,OMODA 5,41,Sevilla,Corporate,BEV,UKL2,REST,Standard,SAV,1
2026,07,30,OMODA,OMODA 5,41,Sevilla,Private,ICE,UKL2,REST,Standard,SAV,4
2026,07,30,OMODA,OMODA 7,41,Sevilla,Private,PHEV,KKL,REST,Standard,SAV,2
2026,07,30,OMODA,OMODA 9,41,Sevilla,Private,PHEV,KKL,REST,Standard,SAV,1
2026,07,30,OPEL,MOVANO,41,Sevilla,Private,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,PEUGEOT,2008,41,Sevilla,Private,ICE,UKL1,REST,Standard,SAV,5
2026,07,30,PEUGEOT,3008,41,Sevilla,Private,ICE,UKL2,REST,Standard,SAT,1
2026,07,30,RENAULT,AUSTRAL,41,Sevilla,Private,ICE,UKL2,REST,Standard,SAV,2
2026,07,30,RENAULT,CAPTUR,41,Sevilla,Private,ICE,UKL1,REST,Standard,SAV,7
2026,07,30,RENAULT,CLIO,41,Sevilla,Corporate,ICE,UKL1,REST,Standard,HACH 5P,1
2026,07,30,RENAULT,CLIO,41,Sevilla,Private,ICE,UKL1,REST,Standard,HACH 5P,8
2026,07,30,RENAULT,ESPACE,41,Sevilla,Private,ICE,KKL,REST,Standard,SAV,2
2026,07,30,RENAULT,KANGOO,41,Sevilla,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,RENAULT,KANGOO,41,Sevilla,Private,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,RENAULT,MASTER,41,Sevilla,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,RENAULT,SYMBIOZ,41,Sevilla,Private,ICE,UKL1,REST,Standard,SAV,1
2026,07,30,RENAULT,TRAFIC,41,Sevilla,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,SEAT,ARONA,41,Sevilla,Corporate,ICE,UKL1,REST,Standard,SAV,2
2026,07,30,SEAT,ARONA,41,Sevilla,Private,ICE,UKL1,REST,Standard,SAV,3
2026,07,30,SEAT,ATECA,41,Sevilla,Private,ICE,UKL2,REST,Standard,SAT,1
2026,07,30,SEAT,IBIZA,41,Sevilla,Corporate,ICE,UKL1,REST,Standard,HACH 5P,3
2026,07,30,SEAT,IBIZA,41,Sevilla,Private,ICE,UKL1,REST,Standard,HACH 5P,4
2026,07,30,SEAT,LEON,41,Sevilla,Corporate,ICE,UKL2,REST,Standard,HACH 5P,2
2026,07,30,SEAT,LEON,41,Sevilla,Private,ICE,UKL2,REST,Standard,HACH 5P,3
2026,07,30,SKODA,KAROQ,41,Sevilla,Private,ICE,UKL2,REST,Standard,SAT,4
2026,07,30,SKODA,KODIAQ,41,Sevilla,Private,PHEV,KKL,REST,Standard,SAV,1
2026,07,30,SUBARU,OUTBACK,41,Sevilla,Corporate,ICE,KKL,REST,Standard,ESTATE,1
2026,07,30,SUZUKI,VITARA,41,Sevilla,Private,ICE,UKL2,REST,Standard,SUV,2
2026,07,30,TOYOTA,AYGO X,41,Sevilla,Private,ICE,UKL0,REST,Standard,HACH 5P,1
2026,07,30,TOYOTA,C-HR,41,Sevilla,Private,BEV,UKL1,REST,Standard,SAV,2
