processed_date,target_yyyymm,marca,modelo,canal,fuel_type,fuel,segmento,subseg,hp,body_type,delta
202303,202302,MERCEDES,,Private,ICE,Diesel,,REST,Standard,,-1
202303,202104,MAZDA,MAZDA 3,Private,BEV,Gasolina Mild Hybrid,UKL2,REST,Standard,SEDAN,-1
202303,202110,MERCEDES,CLASE CLA,Corporate,BEV,Gasolina/Electrico Enchufable,UKL2,FOCUS SEGMENT,Standard,SEDAN,-1
202303,202110,SUBARU,XV,Private,ICE,Gasolina,UKL2,REST,Standard,SAV,-1
202303,202110,LAMBORGHINI,URUS,Corporate,ICE,Gasolina/Electrico Enchufable,GKL+,FOCUS SEGMENT,Standard,SAV,-1
202303,202206,MERCEDES,CLASE SL,Private,ICE,Gasolina Mild Hybrid,GKL,FOCUS SEGMENT,M Performance,ROADSTER,-1
202303,202109,PEUGEOT,3008,Private,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAT,-1
202303,202204,AUDI,Q3 SPORTBACK,Private,PHEV,Gasolina/Electrico Enchufable,UKL2,FOCUS SEGMENT,Standard,SAV,-1
202303,202207,VOLKSWAGEN,GOLF,Private,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,HACH 5P,-1
202303,202206,VOLKSWAGEN,,Private,ICE,Gasolina,,REST,Standard,,-1
202303,202206,LOTUS,,Private,ICE,Gasolina,,REST,Standard,,-1
202303,202110,LAND ROVER,RANGE ROVER,Private,ICE,Gasolina/Electrico Enchufable,GKL,FOCUS SEGMENT,Standard,SAV,-1
202303,202108,PORSCHE,PANAMERA,Corporate,BEV,Gasolina/Electrico Enchufable,GKL,FOCUS SEGMENT,M Performance,SEDAN,-1
202303,202108,VOLKSWAGEN,GOLF,Private,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,HACH 5P,-1
202303,202106,VOLKSWAGEN,GOLF,Corporate,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,HACH 5P,-1
202303,202110,MG,MARVEL R,Private,BEV,Electrico,UKL2,REST,Standard,SAV,-1
202303,202301,SMART,FORTWO,Private,ICE,Electrico,UKL0,REST,Standard,HACH 3P,-1
