brand,version_dgt,model,segment,subsegment,high_perf,body_type,fuel,fuel_type
BMW,G32LCI 620D XDRIVE GRAN TURISM,SERIE 6,MKL,FOCUS SEGMENT,Standard,SAT,Diesel Mild Hybrid,ICE
BMW,G32LCI 630D GRAN TURISMO A,SERIE 6,MKL,FOCUS SEGMENT,Standard,SAT,Diesel Mild Hybrid,ICE
BMW,G32LCI 630D XDRIVE GRAN TURISM,SERIE 6,MKL,FOCUS SEGMENT,Standard,SAT,Diesel Mild Hybrid,ICE
BMW,G32LCI 640I XDRIVE GRAN TURISM,SERIE 6,MKL,FOCUS SEGMENT,Standard,SAT,Gasolina Mild Hybrid,ICE
BMW,G42 218I A M SPORT,SERIE 2,UKL2,FOCUS SEGMENT,Standard,COUPE,Gasolina,ICE
BMW,G42 220D A M SPORT,SERIE 2,UKL2,FOCUS SEGMENT,Standard,COUPE,Diesel Mild Hybrid,ICE
BMW,G42 220I A M SPORT,SERIE 2,UKL2,FOCUS SEGMENT,Standard,COUPE,Gasolina,ICE
BMW,G42 230I A M SPORT,SERIE 2,UKL2,FOCUS SEGMENT,Standard,COUPE,Gasolina,ICE
BMW,G42 M240I,SERIE 2,UKL2,FOCUS SEGMENT,M Performance,COUPE,Gasolina,ICE
BMW,G42 M240I XDRIVE,SERIE 2,UKL2,FOCUS SEGMENT,M Performance,COUPE,Gasolina,ICE
BMW,G45 X3 20 XDRIVE,X3,KKL,FOCUS SEGMENT,Standard,SAV,Gasolina Mild Hybrid,ICE
BMW,G45 X3 20D XDRIVE,X3,KKL,FOCUS SEGMENT,Standard,SAV,Diesel Mild Hybrid,ICE
BMW,G45 X3 30E XDRIVE,X3,KKL,FOCUS SEGMENT,Standard,SAV,Gasolina/Electrico Enchufable,PHEV
BMW,G45 X3 M50 XDRIVE,X3,KKL,FOCUS SEGMENT,M Performance,SAV,Gasolina Mild Hybrid,ICE
BMW,G60 520D A,SERIE 5,MKL,FOCUS SEGMENT,Standard,SEDAN,Diesel Mild Hybrid,ICE
BMW,G60 520D XDRIVE A,SERIE 5,MKL,FOCUS SEGMENT,Standard,SEDAN,Diesel Mild Hybrid,ICE
BMW,G60 520I A,SERIE 5,MKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina Mild Hybrid,ICE
BMW,G60 530E,SERIE 5,MKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina/Electrico Enchufable,PHEV
BMW,G60 530E XDRIVE A,SERIE 5,MKL,FOCUS SEGMENT,Standard,SEDAN,Gasolina/Electrico Enchufable,PHEV
BMW,G60 540D XDRIVE A,SERIE 5,MKL,FOCUS SEGMENT,Standard,SEDAN,Diesel Mild Hybrid,ICE
