BRAND,SUB_MODEL_NAME,SUB_MODEL_SHORT,IHS_CODE_SUBMODEL,GENERATION_YEAR,IHS_BODY_GROUP,BMW_CLASSIFICATION,BMW_REGIONAL_C1,BMW_SEGMENT,BMW_CONCEPT,BMW_SUB_CONCEPT
BUICK-SHANGHAI,BUICK-SHANGHAI ENCORE,ENCORE,QKEC,2012.0,SUV,BASE,REST,UKL1,SAV,SAV
MAHINDRA,MAHINDRA QUANTO,QUANTO,MHM1,2012.0,HATCHBACK,BASE,REST,UKL1,HATCH,HATCH
BEIJING AUTO,BEIJING AUTO SENOVA D20 (SEDAN,SENOVA D20 (SEDAN,BXDS,2012.0,SEDAN,BASE,REST,UKL1,SEDAN,SEDAN
BEIJING AUTO,BEIJING AUTO EV200 MPV,EV200 MPV,BXE0,2012.0,MPV,BASE,REST,UKL1,HATCH,HATCH
BEIJING AUTO,BEIJING AUTO EV200 (SEDAN),EV200 (SEDAN),BXE2,2012.0,SEDAN,BASE,REST,UKL1,SEDAN,SEDAN
MERCEDES-BENZ,MERCEDES-BENZ SL/SLC UNSPEC,SL/SLC UNSPECIFIED,MBCA,2012.0,UNSPECIFIED,PREMIUM,TRAD. COMP.,GKL,UNSPEC.,UNSPEC.
MERCEDES-BENZ,MERCEDES-BENZ SL 65 AMG,SL 65 AMG,MBAO,2012.0,RETRACTABLE HARDTOP,PREMIUM,TRAD. COMP.,GKL,ROADSTER,ROADSTER
MERCEDES-BENZ,MERCEDES-BENZ SL 63 AMG,SL 63 AMG,MBAY,2012.0,RETRACTABLE HARDTOP,PREMIUM,TRAD. COMP.,GKL,ROADSTER,ROADSTER
MERCEDES-BENZ,MERCEDES-BENZ SL 550,SL 550,MBE2,2012.0,RETRACTABLE HARDTOP,PREMIUM,TRAD. COMP.,GKL,ROADSTER,ROADSTER
MERCEDES-BENZ,MERCEDES-BENZ SL 500,SL 500,MBAC,2012.0,RETRACTABLE HARDTOP,PREMIUM,TRAD. COMP.,GKL,ROADSTER,ROADSTER
MERCEDES-BENZ,MERCEDES-BENZ SL 450,SL 450,MB4L,2012.0,RETRACTABLE HARDTOP,PREMIUM,TRAD. COMP.,GKL,ROADSTER,ROADSTER
MERCEDES-BENZ,MERCEDES-BENZ SL 400,SL 400,MBE6,2012.0,RETRACTABLE HARDTOP,PREMIUM,TRAD. COMP.,GKL,ROADSTER,ROADSTER
MASERATI,MASERATI QUATTROPORTE,QUATTROPORTE,MAQU,2012.0,SEDAN,PREMIUM,TRAD. COMP.,GKL,SEDAN,SEDAN
HYUNDAI,HYUNDAI MAXCRUZ,MAXCRUZ,HYMX,2012.0,SUV,BASE,REST,MKL,SAV,SAV
RENAULT,RENAULT DOKKER,DOKKER,REDO,2012.0,CAR UTILITY,BASE,REST,UKL1,MPV,MPV
BEIJING AUTO,BEIJING AUTO UP MPV,UP MPV,BXUM,2012.0,MPV,BASE,REST,UKL1,HATCH,HATCH
BEIJING AUTO,BEIJING AUTO UP (SEDAN),UP (SEDAN),BXUS,2012.0,SEDAN,BASE,REST,UKL1,SEDAN,SEDAN
BEIJING AUTO,BEIJING AUTO SENOVA D20 MPV,SENOVA D20 MPV,BXDM,2012.0,MPV,BASE,REST,UKL1,HATCH,HATCH
HONDA-DONGFENG,HONDA-DONGFENG ELYSION,ELYSION,Q4EL,2012.0,MPV,BASE,REST,MKL,MPV,MPV
RENAULT,RENAULT KANGOO (DOKKER),KANGOO (DOKKER),REKE,2012.0,CAR UTILITY,BASE,REST,UKL1,MPV,MPV
BEIJING AUTO,BEIJING AUTO EV160 MPV,EV160 MPV,BXEA,2012.0,MPV,BASE,REST,UKL1,HATCH,HATCH
BEIJING AUTO,BEIJING AUTO EV150,EV150,BXE5,2012.0,MPV,BASE,REST,UKL1,HATCH,HATCH
CHANA,CHANA RAETON,RAETON,YCRA,2012.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
