brand,dealer_id,dealer_name,point_of_sale,point_of_sale_id,address,postcode,city,province,latitude,longitude,source_kind,source_confidence,source_url,retrieved_date
Dacia,72431600,"LES, S.L.","LES, S.L.",72431600_001,"CTRA. NACIONAL II, KM. 434",22520,FRAGA,,41.5179930,0.3234740,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405349,"JAPEMASA SOLAR, S.L","JAPEMASA SOLAR, S.L",72405349_001,"CTRA. GRANADA, KM 336,600",23001,JAEN,,37.7733180,-3.7663770,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72454002,"DELCAMO, S.L.","DELCAMO, S.L.",72454002_001,"CTRA MADRID-CADIZ, KM. 269",23200,LA CAROLINA,,38.2718800,-3.6099140,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405452,"JAPEMASA SOLAR, S.L","JAPEMASA SOLAR, S.L. / UBEDA",72405452_001,"CARRETERA DE VILCHES, 20",23400,UBEDA,,38.0213720,-3.3703055,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405351,"JAPEMASA SOLAR, S.L","JAPEMASA SOLAR, S.L (LINARES)",72405351_001,"AVDA. SAN CRISTOBAL, S/N",23700,LINARES,,38.0910660,-3.6488450,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405350,"JAPEMASA SOLAR, S.L","JAPEMASA SOLAR, S.L (ANDUJAR)",72405350_001,"AUTOVIA ANDALUCIA, KM 324",23740,ANDUJAR,,38.0313288,-4.0562854,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72423617,"LEOMOVIL, S.L.",LEOMOTOR LEÓN,72423617_001,AVDA. MADRID 116,24005,LEON,,42.5770948,-5.5447146,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72423609,"FERNANDEZ ENCINA, S.L.","FERNANDEZ ENCINA, S.L.",72423609_001,"AV. FERNANDO DE CASTRO,46",24320,SAHAGUN,,42.3696909,-5.0282831,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405468,"LEOMOVIL, S.L.",LEOMOTOR PONFERRADA,72405468_001,"CTRA. DE LA CORUÑA, KM. 383",24400,PONFERRADA,,42.5510621,-6.6157192,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405179,"AUTANSA 3000,S.L.U.","AUTANSA 3000,S.L.U. (LLEIDA)",72405179_001,"CARRETERA DE BARCELONA,KM 464",25001,LLEIDA,,41.6127850,0.6481770,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405181,"AUTANSA 3000,S.L.U.","AUTANSA 3000,S.L.U.(MOLLERUSA)",72405181_001,"CARRTERA N-II,KM 484,3",25230,MOLLERUSA,,41.6298470,0.8826330,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405476,TALLERS SERENA. S.L.,TALLERS SERENA. S.L.,72405476_001,CTRA. SANT LLORENS. 34,25280,SOLSONA,,41.9991600,1.5201800,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405180,"AUTANSA 3000,S.L.U.","AUTANSA 3000,S.L.U.(TARREGA)",72405180_001,"RONDA COMTES DE BARCELONA, 3",25300,TARREGA,,41.6529094,1.1479723,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72434305,"CENTRE INTEGRAL XAPA, S.L","CENTRE INTEGRAL XAPA, S.L (J.PLA)",72434305_001,"CTRA. DE TARREGA, KM.1",25600,BALAGUER,,41.7887850,0.8214710,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405475,"MOLES AUTO II,S.L.U.","MOLES AUTO II,S.L.U.",72405475_001,POL. IND. LA SEU - PARCELA 11B,25700,LA SEU DE URGEL,,42.3513330,1.4356120,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72434304,"MOLES AUTO II,S.L.U.","MOLES AUTO II,S.L.U.",72434304_001,"CTRA. AGRAMUNT-ARTESA, 88",25730,ARTESA DE SEGRE,,41.8922900,1.0480400,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405082,AUTO URBION S.L.,AUTO URBION S.L.,72405082_001,"AVENIDA BURGOS, 64",26007,LOGROÑO,,42.4616133,-2.4720832,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72422114,AUTO URBION S.L.,"AUTO URBION, S.L.",72422114_001,CALLE RIFONDO S/N,26500,CALAHORRA,,42.2910800,-1.9495660,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405057,"CAETANO FORMULA GALICIA, S.L.U",CAETANO,72405057_001,"AVDA. BENIGNO RIVERA, 59",27003,LUGO,,43.0417268,-7.5720568,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405140,"TALLERES MECANICOS PARDO, S.L.","TALLERES MECANICOS PARDO, S.L.",72405140_001,CALLE VILANOVA Nº 24,27400,MONFORTE DE LEMOS,,42.5327020,-7.5076750,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405477,AUTOMOCION RIAS BAIXAS,AUTOMOCION RIAS BAIXAS,72405477_001,"CTRA. MONFORTE-SARRIA, S/N",27600,SARRIA,,42.7701240,-7.4148950,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405479,"GABELLA MOTOR, S.L.","GABELLA MOTOR, S.L.",72405479_001,"BRAVO MURILLO, 53",28003,MADRID,,40.4413371,-3.7043914,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405310,"GABELLA MOTOR, S.L.","GABELLA MOTOR,S.L.",72405310_001,"FERNANDEZ DE LA HOZ,82-84",28003,MADRID,,40.4409010,-3.6941674,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405486,"AUTOCARPE CONCESIONARIO, S.L.","AUTOCARPE CONCESIONARIO, S.L. / ESTACION",72405486_001,"PASEO DE LA ESTACION, 2",28007,ALCALA DE HENARES,,40.4868120,-3.3627940,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405073,"JOSE JURADO, S.A.U",JOSE JURADO (SECO),72405073_001,"AVDA. CIUDAD DE BARCELONA,208",28007,MADRID,,40.3998015,-3.6723384,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405472,"JOSE JURADO, S.A.U",JOSE JURADO (ALCALA),72405472_001,"ALCALA, 187",28009,MADRID,,40.4275357,-3.6702570,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72411500,"RRG MADRID,S.A. (CENTRAL)",RRG MADRID (SAN GERMAN),72411500_001,"C/SAN GERMAN, 6",28020,MADRID,,40.4566380,-3.6913461,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72412000,"RRG MADRID,S.A. (CENTRAL)",RRG MADRID (AVD ANDALUCIA),72412000_001,"CTRA. ANDALUCIA, KM. 9,2",28021,MADRID,,40.3449950,-3.6939490,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405481,"HONTORIA AUTOMOCION, S.L.","HONTORIA AUTOMOCION, S.L.",72405481_001,"JULIA GARCIA BOUTAN, 3",28022,MADRID,,40.4300829,-3.6100541,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405482,"HONTORIA AUTOMOCION, S.L.","HONTORIA AUTOMOCION, S.L.",72405482_001,"SOFIA, 30",28022,MADRIO,,40.4251323,-3.6003327,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405484,"TALLERES SAN MARIANO, S.L.","TALLERES SAN MARIANO, S.L. / VICALVARO",72405484_001,"AVDA. CANILLEJAS A VICALVARO, 41",28022,MADRID,,40.4392307,-3.6140340,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405478,"GABELLA MOTOR, S.L.","GABELLA MOTOR, S.L. / ARAVACA",72405478_001,"AVDA. DE EUROPA, 25",28023,ARAVACA,,40.4452300,-3.7853700,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
