BRAND,SUB_MODEL_SHORT,IHS_CODE_SUBMODEL,GENERATION_YEAR,IHS_BODY_GROUP,BMW_CLASSIFICATION,BMW_REGIONAL_C1,BMW_SEGMENT,BMW_CONCEPT,BMW_SUB_CONCEPT
MG,T60,MG08,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
MG,UNSPECIFIED,MGZZ,,COUPE,BASE,REST,UKL2,COUPE,COUPE
MG,WINDSOR,MG!1,,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
MG,XPOWER SV,MGX8,,COUPE,NEAR PREMIUM,REST,GKL,COUPE,COUPE
MG,YUNDUO,MG!!,,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
MIA ELECTRIC,MIA,U9MI,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MIA ELECTRIC,UNSPECIFIED,U9ZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
MICROCAR,M-GO,BKMG,,HATCHBACK,BASE,REST,UKL0,HATCH,HATCH
MICROCAR,SHERPA,BKSH,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MICROCAR,UNSPECIFIED,BKZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
MINAN AUTO,UNSPECIFIED,82ZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
MINE MOBILITY,B-HATCH EV,5M01,,HATCHBACK,BASE,REST,UKL1,HATCH,HATCH
MINE MOBILITY,MT30,5M00,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MINE MOBILITY,UNSPECIFIED,5MZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
MINGJUN,UNSPECIFIED,8MZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
MINI,B-HATCH EV,XM02,,CONVERTIBLE,PREMIUM,TRAD. COMP.,UKL1,CABRIO,CABRIO
MINI,C-CUV EV,XM04,,SUV,PREMIUM,TRAD. COMP.,UKL2,SAV,SAV
MINI,CLUBMAN (SUV),XMCM,,SUV,PREMIUM,TRAD. COMP.,UKL1,SAV,SAV
MINI,UNSPECIFIED,XMZZ,,UNSPECIFIED,PREMIUM,TRAD. COMP.,UKL1,UNSPEC.,UNSPEC.
MINI-BRILLIANCE,C-CUV EV,2M!!,,SUV,PREMIUM,TRAD. COMP.,UKL2,SAV,SAV
MINI-BRILLIANCE,COUNTRYMAN,2MCO,,SUV,PREMIUM,TRAD. COMP.,UKL2,SAV,SAV
MINI-GREAT WALL,C-CUV EV,4M04,,SUV,PREMIUM,TRAD. COMP.,UKL2,SAV,SAV
MINI-GREAT WALL,MINI,4MMI,,HATCHBACK,PREMIUM,TRAD. COMP.,UKL1,HATCH,HATCH
MITSUBISHI,A-HATCH EV,MI0F,,HATCHBACK,BASE,REST,UKL0,HATCH,HATCH
MITSUBISHI,A-MPV EV,MI0A,,MPV,BASE,REST,UKL0,MPV,MPV
MITSUBISHI,B-CUV,MI01,,SUV,BASE,REST,UKL1,SAV,SAV
MITSUBISHI,B-SUV,MI07,,SUV,BASE,REST,UKL1,SAV,SAV
MITSUBISHI,C-CUV EV,MI0D,,SUV,BASE,REST,UKL2,SAV,SAV
MITSUBISHI,CELESTE,MICE,,COUPE,BASE,REST,UKL2,COUPE,COUPE
MITSUBISHI,G-WAGON,MIPG,,SUV,BASE,REST,KKL,SUV,SUV
MITSUBISHI,CHARIOT GRANDIS,MICI,,MPV,BASE,REST,KKL,MPV,MPV
MITSUBISHI,C-MPV,MI08,,MPV,BASE,REST,UKL2,MPV,MPV
MITSUBISHI,COLT L300,MIL0,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MITSUBISHI,COLT T120,MICT,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MITSUBISHI,C-SUV,MI!&,,SUV,BASE,REST,UKL2,SAV,SAV
MITSUBISHI,D-SUV,MI!$,,SUV,BASE,REST,KKL,SAV,SAV
MITSUBISHI,EXPRESS,MIEP,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MITSUBISHI,EXPRESS (TRAFIC),MIDT,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MITSUBISHI,FORTE,MIFO,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
MITSUBISHI FUSO,COLT (CANTER),NKC1,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MITSUBISHI FUSO,FE,NKFE,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MITSUBISHI FUSO,FE 639,NKFA,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MITSUBISHI FUSO,FG,NKFG,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MITSUBISHI FUSO,FM-SERIES,NKFJ,,TRUCK,BASE,REST,SKL,TRUCK,TRUCK
MITSUBISHI FUSO,FIGHTER,NKFI,,TRUCK,BASE,REST,SKL,TRUCK,TRUCK
MITSUBISHI FUSO,FN,NKFN,,TRUCK,BASE,REST,SKL,TRUCK,TRUCK
MITSUBISHI FUSO,W,NKWW,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MITSUBISHI FUSO,UNSPECIFIED,NKZZ,,TRUCK,BASE,REST,SKL,TRUCK,TRUCK
MITSUBISHI,GRANDIS,MI!@,,SUV,BASE,REST,UKL2,SAV,SAV
MITSUBISHI,JEEP,MIJE,,SUV,BASE,REST,UKL2,SUV,SUV
MITSUBISHI,JOLIE,MIJO,,CAR UTILITY,BASE,REST,UKL2,MPV,MPV
MITSUBISHI,COLT PICK-UP,MIC2,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
MITSUBISHI,EXCEED,MIED,,MPV,BASE,REST,KKL,MPV,MPV
MITSUBISHI,TRANCITY,MITC,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MITSUBISHI,MF,MIMF,,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
MITSUBISHI,MIDGET CARS UNSPECIFIED,MIMC,,UNSPECIFIED,BASE,REST,UKL0,UNSPEC.,UNSPEC.
MITSUBISHI,JETSTAR/T120,MIJT,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MITSUBISHI,MIDGET TRUCKS UNSPECIFIED,MIMT,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MITSUBISHI,MINICAB EV,MI!0,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MITSUBISHI,ASTI,MIAS,,UNSPECIFIED,BASE,REST,UKL2,UNSPEC.,UNSPEC.
MITSUBISHI,MX,MIMX,,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
MITSUBISHI,PAJERO/SHOGUN/MONTERO,MIPA,,SUV,BASE,REST,MKL,SUV,SUV
MITSUBISHI,PRECIS,MIPR,,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
MITSUBISHI,EXPO,MIEX,,MPV,BASE,REST,UKL2,MPV,MPV
MITSUBISHI,RVR/SPACE RUNNER,MIRV,,MPV,BASE,REST,UKL2,MPV,MPV
MITSUBISHI,STRADA,MISR,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
MITSUBISHI,SUPER EXCEED,MISE,,MPV,BASE,REST,KKL,MPV,MPV
MITSUBISHI,TREDIA,MITR,,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
MITSUBISHI,L100,MIL1,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MITSUBISHI,MIGHTY MAX,MIXX,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
MITSUBISHI,TOWNY,MITO,,HATCHBACK,BASE,REST,UKL0,HATCH,HATCH
MITSUBISHI,UNSPECIFIED,MIZZ,,COUPE,BASE,REST,KKL,COUPE,COUPE
MITSUBISHI,V3000,MIV3,,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
MITSUBISHI,VARICA,MIVA,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MITSUBISHI,ZINGER PICKUP,MIZP,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
MITSUBISHI-BEIJING,PAJERO SPORT,YRPS,,SUV,BASE,REST,KKL,SUV,SUV
MITSUBISHI-GAC,UNSPECIFIED,G4ZZ,,UNSPECIFIED,BASE,REST,UKL2,UNSPEC.,UNSPEC.
MITSUOKA,UNSPECIFIED,MJZZ,,UNSPECIFIED,BASE,REST,KKL,UNSPEC.,UNSPEC.
MOBILITY,CITYBEAT,2301,,HATCHBACK,BASE,REST,UKL0,HATCH,HATCH
MOBILITY,CITYBOX,2304,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
