anyo,mes,dia,marca,modelo,canal,fuel_type,fuel,segmento,subseg,hp,body_type,count
2026,06,05,EQUIPFRED,,RAC,ICE,Diesel,,,Standard,,1
2026,06,05,ERKE,,Corporate,BEV,Electrico,,,Standard,,2
2026,06,05,ERKE,,Corporate,ICE,Diesel,,,Standard,,11
2026,06,05,EUROCARROCERA,,Corporate,ICE,Diesel,,,Standard,,17
2026,06,05,EVITALIA,,Corporate,BEV,Electrico,,,Standard,,2
2026,06,05,EVO,,Private,ICE,Gas Licuado con petroleo (GLP),,,Standard,,4
2026,06,05,EVO,,Private,ICE,Gasolina,,,Standard,,3
2026,06,05,FERRARI,296,Private,PHEV,Gasolina/Electrico Enchufable,8.GKL++2,FOCUS SEGMENT,Standard,COUPE,1
2026,06,05,FIAT,,Private,ICE,Diesel,,,Standard,,2
2026,06,05,FIAT,500,Corporate,ICE,Gasolina Mild Hybrid,1.UKL0,REST,Standard,HACH 3P,2
2026,06,05,FIAT,500,Private,ICE,Gasolina Mild Hybrid,1.UKL0,REST,Standard,HACH 3P,6
2026,06,05,FIAT,600,Corporate,BEV,Gasolina Mild Hybrid,2.UKL1,REST,Standard,SAV,1
2026,06,05,FIAT,600,RAC,BEV,Gasolina Mild Hybrid,2.UKL1,REST,Standard,SAV,1
2026,06,05,FIAT,600,RAC,ICE,Gasolina Mild Hybrid,2.UKL1,REST,Standard,SAV,43
2026,06,05,FIAT,DOBLO CARGO,Corporate,ICE,Electrico,10.SKL,REST,Standard,TRANSPORTER,7
2026,06,05,FIAT,DOBLO CARGO,Private,ICE,Electrico,10.SKL,REST,Standard,TRANSPORTER,1
2026,06,05,FIAT,DOBLO CARGO,RAC,ICE,Electrico,10.SKL,REST,Standard,TRANSPORTER,1
2026,06,05,FIAT,DUCATO,Corporate,ICE,Diesel,10.SKL,REST,Standard,TRANSPORTER,5
2026,06,05,FIAT,E-ULYSSE,Private,ICE,Electrico,SKL,REST,Standard,TRANSPORTER,1
2026,06,05,FIAT,PANDA,Private,ICE,Gasolina Mild Hybrid,1.UKL0,REST,Standard,HACH 5P,1
2026,06,05,FIAT,SCUDO,Corporate,ICE,Electrico,10.SKL,REST,Standard,TRANSPORTER,3
2026,06,05,FOIMA,,Corporate,ICE,Diesel,,,Standard,,1
2026,06,05,FORD,BRONCO,Private,ICE,Gasolina,5.MKL,REST,Standard,SUV,1
2026,06,05,FORD,EXPLORER,Private,BEV,Gasolina/Electrico Enchufable,10.SKL,REST,Standard,PICKUP,2
2026,06,05,FORD,KUGA,Corporate,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,1
2026,06,05,FORD,KUGA,Corporate,PHEV,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,9
2026,06,05,FORD,KUGA,Private,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,3
2026,06,05,FORD,KUGA,Private,PHEV,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,12
2026,06,05,FORD,PUMA,Corporate,BEV,Gasolina Mild Hybrid,2.UKL1,REST,Standard,SAV,1
2026,06,05,FORD,PUMA,Corporate,ICE,Gasolina Mild Hybrid,2.UKL1,REST,Standard,SAV,8
2026,06,05,FORD,PUMA,Private,BEV,Gasolina Mild Hybrid,2.UKL1,REST,Standard,SAV,1
2026,06,05,FORD,PUMA,Private,ICE,Gasolina Mild Hybrid,2.UKL1,REST,Standard,SAV,7
2026,06,05,FORD,RANGER,Corporate,ICE,Gasolina/Electrico Enchufable,10.SKL,REST,Standard,PICKUP,5
2026,06,05,FORD,RANGER,Corporate,PHEV,Gasolina/Electrico Enchufable,10.SKL,REST,Standard,PICKUP,4
