anyo,mes,marca,canal,fuel_type,count
2026,06,EUROGAZA,Private,ICE,76
2026,06,EVITALIA,Corporate,BEV,2
2026,06,EVO,Corporate,ICE,5
2026,06,EVO,Private,ICE,98
2026,06,EVO,RAC,ICE,14
2026,06,FARIZON,Corporate,BEV,4
2026,06,FARIZON,Private,BEV,3
2026,06,FAW,Corporate,ICE,2
2026,06,FAW,Corporate,PHEV,3
2026,06,FAW,Private,ICE,17
2026,06,FAW,Private,PHEV,1
2026,06,FEIDI,Corporate,BEV,1
2026,06,FENIKS,Corporate,BEV,3
2026,06,FENIKS,Corporate,ICE,6
2026,06,FERRARI,Corporate,ICE,6
2026,06,FERRARI,Corporate,PHEV,1
2026,06,FERRARI,Private,ICE,3
2026,06,FERRARI,Private,PHEV,6
2026,06,FIAT,Corporate,BEV,21
2026,06,FIAT,Corporate,ICE,659
2026,06,FIAT,Private,BEV,68
2026,06,FIAT,Private,ICE,297
2026,06,FIAT,RAC,BEV,34
2026,06,FIAT,RAC,ICE,1123
2026,06,FIREMAR,Corporate,ICE,2
2026,06,FLEURETTE,Private,ICE,1
2026,06,FLUVIA,Corporate,ICE,1
2026,06,FOIMA,Corporate,ICE,6
2026,06,FOIMA,Private,ICE,1
2026,06,FORD,Corporate,BEV,208
2026,06,FORD,Corporate,ICE,1995
2026,06,FORD,Corporate,PHEV,450
2026,06,FORD,Private,BEV,112
2026,06,FORD,Private,ICE,537
2026,06,FORD,Private,PHEV,406
2026,06,FORD,RAC,BEV,21
2026,06,FORD,RAC,ICE,317
2026,06,FORD,RAC,PHEV,106
2026,06,FORSTER,RAC,ICE,1
2026,06,FOTON,Corporate,BEV,1
2026,06,FOTON,Corporate,ICE,33
2026,06,FOTON,Private,ICE,23
2026,06,FRANGU,Corporate,ICE,3
2026,06,FROILAN,Corporate,ICE,1
2026,06,FURCAR,Corporate,ICE,5
2026,06,FURCAR,RAC,ICE,2
2026,06,FUSO,Corporate,ICE,3
2026,06,FUSO,RAC,ICE,1
2026,06,GALO HEREDIA,Corporate,ICE,2
2026,06,GAPA,Corporate,ICE,1
2026,06,GARCIA BLAZQUEZ  MORENO,Corporate,ICE,3
2026,06,GBM,Corporate,ICE,1
2026,06,GEELY,Corporate,BEV,7
2026,06,GEELY,Corporate,PHEV,33
2026,06,GEELY,Private,BEV,21
2026,06,GEELY,Private,PHEV,141
2026,06,GEELY,RAC,PHEV,15
2026,06,GEYCODIESEL,Corporate,ICE,2
2026,06,GIOTTILINE,Corporate,ICE,6
2026,06,GIOTTILINE,Private,ICE,21
2026,06,GIOTTILINE,RAC,ICE,16
2026,06,GOES,Private,ICE,3
2026,06,GOMEZ,Corporate,ICE,4
2026,06,GOUPIL,Corporate,BEV,29
2026,06,GRAU,Corporate,BEV,80
2026,06,GREAT WALL MOTOR COMPANY LIMIT,Corporate,BEV,6
2026,06,GREAT WALL MOTOR COMPANY LIMIT,Corporate,ICE,21
2026,06,GRUAU,Corporate,ICE,2
2026,06,GRUAU,Private,ICE,1
2026,06,GRUAUTO,Corporate,ICE,3
2026,06,HALCON,Corporate,ICE,1
2026,06,HARLEY-DAVIDSON,Private,ICE,4
2026,06,HENALES,Corporate,ICE,3
2026,06,HERCOV,Corporate,ICE,6
2026,06,HERCOV,RAC,ICE,1
2026,06,HERMONT,Corporate,ICE,6
2026,06,HICAVAL,Corporate,ICE,1
2026,06,HIDRAULICOS JOMAR,Corporate,ICE,1
2026,06,HIGER,Corporate,ICE,1
2026,06,HIGER,RAC,ICE,5
2026,06,HITRAVI,Corporate,ICE,2
2026,06,HOBBY,Private,ICE,1
2026,06,HONDA,Corporate,ICE,86
2026,06,HONDA,Corporate,PHEV,3
2026,06,HONDA,Private,ICE,297
2026,06,HONDA,Private,PHEV,14
2026,06,HYMER,Private,ICE,8
2026,06,HYMER,RAC,ICE,1
2026,06,HYUNDAI,Corporate,BEV,77
2026,06,HYUNDAI,Corporate,ICE,944
2026,06,HYUNDAI,Corporate,PHEV,67
2026,06,HYUNDAI,Private,BEV,208
