anyo,mes,marca,canal,count
2025,04,SERRANO,RAC,1
2025,04,SERVICAR,Corporate,8
2025,04,SETRA,Corporate,2
2025,04,SILENCE,Corporate,4
2025,04,SILENCE,Private,7
2025,04,SILENCE,RAC,5
2025,04,SIN MARCA,Corporate,15
2025,04,SIN MARCA,Private,5
2025,04,SIN MARCA,RAC,17
2025,04,SKODA,Corporate,1113
2025,04,SKODA,Private,1048
2025,04,SKODA,RAC,1286
2025,04,SMART,Corporate,14
2025,04,SMART,Private,29
2025,04,SNOEKS AUTOMOTIVE,Corporate,1
2025,04,SOCAGE,Corporate,3
2025,04,SOCAGE,RAC,30
2025,04,SORIBERICA,Corporate,15
2025,04,SORTIMO,Corporate,104
2025,04,SSANGYONG,Corporate,58
2025,04,SSANGYONG,Private,55
2025,04,SSANGYONG,RAC,7
2025,04,STELLANTIS,RAC,1
2025,04,STELLANTIS EUROPE S.P.A.,Private,1
2025,04,STIL CONVERSION,Corporate,1
2025,04,STIL CONVERSION,Private,4
2025,04,SUBARU,Corporate,27
2025,04,SUBARU,Private,37
2025,04,SUBIELA,Corporate,53
2025,04,SUBIELA,RAC,1
2025,04,SUN LIVING,Private,3
2025,04,SUN LIVING,RAC,12
2025,04,SUZUKI,Corporate,47
2025,04,SUZUKI,Private,243
2025,04,SUZUKI,RAC,59
2025,04,SWM,Corporate,4
2025,04,SWM,Private,62
2025,04,SWM,RAC,6
2025,04,TALLERES AGUILAR,Corporate,1
2025,04,TALLERES PRAT RUSIÑOL,Corporate,10
2025,04,TALLERES PRAT RUSIÑOL,Private,1
2025,04,TAMAME,Corporate,1
2025,04,TECNO TRAILER MURCIA,Corporate,1
2025,04,TECNOCARROCERA,Corporate,13
2025,04,TECNOCARROCERA,Private,2
2025,04,TECNOCARROCERA,RAC,6
2025,04,TECNOCARSA,Corporate,3
2025,04,TECNOCARSA,Private,1
2025,04,TECNOVE,Corporate,5
2025,04,TECNOVE,Private,2
2025,04,TECNOVE FIBERGLASS,Corporate,4
2025,04,TECNOVE FIBERGLASS,Private,1
2025,04,TECNOVE FIBERGLASS,RAC,14
2025,04,TEICAR,RAC,1
2025,04,TEKAYDINLAR,Corporate,1
2025,04,TEMSA,Corporate,1
2025,04,TERRADAS,Corporate,5
2025,04,TESLA,Corporate,115
2025,04,TESLA,Private,455
2025,04,TOTH ES FIAI,Private,7
2025,04,TOTH ES FIAI,RAC,3
2025,04,TOYOTA,Corporate,2612
2025,04,TOYOTA,Private,5346
2025,04,TOYOTA,RAC,1290
2025,04,TRANSGRUMA,Corporate,1
2025,04,TRANSPOL,Corporate,3
2025,04,TRANSPOL,RAC,1
2025,04,TRECASA,Corporate,1
2025,04,TRIPOD,Private,2
2025,04,UNVI,Corporate,7
2025,04,UNVI,Private,1
2025,04,VALLEJO,Corporate,1
2025,04,VALLOR,Corporate,1
2025,04,VALLOR,RAC,2
2025,04,VDL,Corporate,2
2025,04,VEBLINTER,Corporate,2
2025,04,VEMASUR,Corporate,5
2025,04,VIEL CARROCERIAS,Corporate,3
2025,04,VITALE,Corporate,3
2025,04,VOLKSWAGEN,Corporate,3323
2025,04,VOLKSWAGEN,Private,2568
2025,04,VOLKSWAGEN,RAC,2489
2025,04,VOLKSWAGEN V W,Corporate,4
2025,04,VOLKSWAGEN V W,Private,7
2025,04,VOLQUETES GONZALVEZ,Corporate,3
2025,04,VOLQUETES Y CAR GALICIA,Corporate,1
2025,04,VOLTEGO,Corporate,1
2025,04,VOLVO,Corporate,618
2025,04,VOLVO,Private,452
2025,04,VOLVO,RAC,414
2025,04,VPS,Corporate,2
2025,04,VSVE,Corporate,17
2025,04,VSVE,RAC,4
2025,04,WEINSBERG,Private,11
2025,04,WEINSBERG,RAC,9
2025,04,WESTFALIA,Private,1
2025,04,XPENG,Corporate,12
2025,04,XPENG,Private,21
2025,04,YAGUE,Corporate,5
2025,04,YOLDI,Corporate,1
2025,04,YUDO,Corporate,1
2025,04,YUDO,Private,4
2025,04,ZAGO,Corporate,1
2025,04,ZAGO AUTOMOTIVE,Corporate,64
2025,04,ZAGO AUTOMOTIVE,Private,1
2025,04,ZAGO AUTOMOTIVE,RAC,1
2025,04,ZHIDOU,Corporate,1
