anyo,mes,dia,marca,canal,fuel_type,count
2026,06,11,MG,Corporate,BEV,2
2026,06,11,MG,Corporate,ICE,4
2026,06,11,MG,Corporate,PHEV,1
2026,06,11,MG,Private,BEV,3
2026,06,11,MG,Private,ICE,69
2026,06,11,MG,Private,PHEV,14
2026,06,11,MINI,Corporate,BEV,8
2026,06,11,MINI,Corporate,ICE,13
2026,06,11,MINI,Private,BEV,5
2026,06,11,MINI,Private,ICE,8
2026,06,11,MITSUBISHI,Corporate,ICE,3
2026,06,11,MITSUBISHI,Corporate,PHEV,1
2026,06,11,MITSUBISHI,Private,ICE,5
2026,06,11,MITSUBISHI,Private,PHEV,3
2026,06,11,MITSUBISHI,RAC,ICE,34
2026,06,11,MULTITEL,RAC,ICE,10
2026,06,11,NISSAN,Corporate,BEV,3
2026,06,11,NISSAN,Corporate,ICE,35
2026,06,11,NISSAN,Private,BEV,4
2026,06,11,NISSAN,Private,ICE,32
2026,06,11,OMODA,Corporate,ICE,6
2026,06,11,OMODA,Corporate,PHEV,3
2026,06,11,OMODA,Private,ICE,19
2026,06,11,OMODA,Private,PHEV,16
2026,06,11,OPEL,Corporate,BEV,5
2026,06,11,OPEL,Corporate,ICE,41
2026,06,11,OPEL,Private,BEV,6
2026,06,11,OPEL,Private,ICE,16
2026,06,11,OPEL,RAC,ICE,22
2026,06,11,PEUGEOT,Corporate,BEV,2
2026,06,11,PEUGEOT,Corporate,ICE,72
2026,06,11,PEUGEOT,Corporate,PHEV,2
2026,06,11,PEUGEOT,Private,BEV,10
2026,06,11,PEUGEOT,Private,ICE,68
2026,06,11,PEUGEOT,Private,PHEV,2
2026,06,11,PEUGEOT,RAC,ICE,50
2026,06,11,PILOTE,Private,ICE,1
2026,06,11,POLESTAR,Corporate,BEV,1
2026,06,11,POLESTAR,Private,BEV,3
2026,06,11,PORSCHE,Corporate,ICE,1
2026,06,11,PORSCHE,Corporate,PHEV,3
2026,06,11,PORSCHE,Private,ICE,1
2026,06,11,PORSCHE,Private,PHEV,2
2026,06,11,PUJOL,Corporate,ICE,1
2026,06,11,RENAULT,Corporate,BEV,4
2026,06,11,RENAULT,Corporate,ICE,70
2026,06,11,RENAULT,Corporate,PHEV,3
2026,06,11,RENAULT,Private,BEV,15
2026,06,11,RENAULT,Private,ICE,73
2026,06,11,RENAULT,Private,PHEV,4
2026,06,11,RODRIGUEZ LOPEZ AUTO,Private,ICE,7
2026,06,11,ROLLER TEAM,Private,ICE,2
2026,06,11,ROLLER TEAM,RAC,ICE,1
2026,06,11,ROLLER-TEAM,RAC,ICE,1
2026,06,11,ROMU,Corporate,ICE,1
2026,06,11,SANTANA,Corporate,ICE,1
2026,06,11,SANTANA,Private,PHEV,1
2026,06,11,SEAT,Corporate,ICE,87
2026,06,11,SEAT,Corporate,PHEV,1
2026,06,11,SEAT,Private,ICE,83
2026,06,11,SEAT,RAC,ICE,24
2026,06,11,SEGWAY,Corporate,ICE,1
2026,06,11,SEGWAY,Private,ICE,1
2026,06,11,SILENCE,Private,BEV,2
2026,06,11,SIN MARCA,Private,ICE,1
2026,06,11,SKODA,Corporate,BEV,2
2026,06,11,SKODA,Corporate,ICE,36
2026,06,11,SKODA,Corporate,PHEV,1
2026,06,11,SKODA,Private,BEV,7
2026,06,11,SKODA,Private,ICE,43
2026,06,11,SKODA,Private,PHEV,6
2026,06,11,SKODA,RAC,ICE,8
2026,06,11,SMART,Corporate,BEV,1
2026,06,11,SMART,Private,BEV,2
2026,06,11,SORTIMO,Corporate,ICE,1
2026,06,11,SPORTEQUIPE,RAC,ICE,5
2026,06,11,SUBARU,Corporate,ICE,2
