marca,canal,old_dgt,new_dgt,simmix,old_delta,new_delta,delta_change
CARROCERIAS FRIGOASTUR,RAC,0,1,0,0,1,1
CARROCERIAS FRIGORIFICAS SEVIL,Corporate,0,71,0,0,71,71
CARROCERIAS FRIGORIFICAS SEVIL,Private,0,15,0,0,15,15
CARROCERIAS FRIGORIFICAS SEVIL,RAC,0,14,0,0,14,14
CARROCERIAS GIL-MA-FER,Corporate,0,2,0,0,2,2
CARROCERIAS GIL-MA-FER,Private,0,1,0,0,1,1
CARROCERIAS GRANADA,Corporate,0,25,0,0,25,25
CARROCERIAS GRANADA,Private,0,3,0,0,3,3
CARROCERIAS HNOS CASES,Corporate,0,11,0,0,11,11
CARROCERIAS HNOS CASES,Private,0,1,0,0,1,1
CARROCERIAS HNOS CASES,RAC,0,1,0,0,1,1
CARROCERIAS JANCAR,Corporate,0,1,0,0,1,1
CARROCERIAS JANCAR,Private,0,1,0,0,1,1
CARROCERIAS JANKAR,Corporate,0,34,0,0,34,34
CARROCERIAS JANKAR,Private,0,6,0,0,6,6
CARROCERIAS JANKAR,RAC,0,8,0,0,8,8
CARROCERIAS JAZ,Corporate,0,14,0,0,14,14
CARROCERIAS JEREZ,Corporate,0,76,0,0,76,76
CARROCERIAS JEREZ,Private,0,5,0,0,5,5
CARROCERIAS JEREZ,RAC,0,19,0,0,19,19
CARROCERIAS MINDA,Corporate,0,275,0,0,275,275
CARROCERIAS MINDA,Private,0,9,0,0,9,9
CARROCERIAS MINDA,RAC,0,51,0,0,51,51
CARROCERIAS MR,Corporate,0,4,0,0,4,4
CARROCERIAS MR,Private,0,2,0,0,2,2
CARROCERIAS OKA,Corporate,0,11,0,0,11,11
CARROCERIAS OURENSE,Corporate,0,1,0,0,1,1
CARROCERIAS PENALVA,Corporate,0,2,0,0,2,2
CARROCERIAS PROCAR,Corporate,0,2,0,0,2,2
CARROCERIAS PUERTO,Corporate,0,2,0,0,2,2
CARROCERIAS PUERTO,RAC,0,2,0,0,2,2
CARROCERIAS RAFAEL MIRALLES,RAC,0,1,0,0,1,1
CARROCERIAS RAMOS,Corporate,0,2,0,0,2,2
CARROCERIAS RAMOS,Private,0,1,0,0,1,1
CARROCERIAS REVERTE,Corporate,0,14,0,0,14,14
CARROCERIAS REVERTE,Private,0,1,0,0,1,1
CARROCERIAS REY,Corporate,0,1,0,0,1,1
CARROCERIAS SALAMANCA,Corporate,0,12,0,0,12,12
CARROCERIAS SALAMANCA,Private,0,1,0,0,1,1
CARROCERIAS SALAMANCA,RAC,0,9,0,0,9,9
CARROCERIAS SANCA,Corporate,0,129,0,0,129,129
CARROCERIAS SANCA,Private,0,56,0,0,56,56
CARROCERIAS SANCA,RAC,0,32,0,0,32,32
CARROCERIAS SANCA SA,Corporate,0,254,0,0,254,254
CARROCERIAS SANCA SA,Private,0,55,0,0,55,55
CARROCERIAS SANCA SA,RAC,0,43,0,0,43,43
"CARROCERIAS SANCA, S.A.",Corporate,0,402,0,0,402,402
"CARROCERIAS SANCA, S.A.",Private,0,43,0,0,43,43
"CARROCERIAS SANCA, S.A.",RAC,0,84,0,0,84,84
CARROCERIAS SEVILLA,Corporate,0,687,0,0,687,687
CARROCERIAS SEVILLA,Private,0,6,0,0,6,6
CARROCERIAS SEVILLA,RAC,0,132,0,0,132,132
