anyo,mes,marca,canal,fuel_type,count
2025,01,FIAT ADRIA MOBIL,RAC,ICE,1
2025,01,FIREMAR,Corporate,ICE,4
2025,01,FLOMEYCA,Corporate,ICE,1
2025,01,FLUVIA,Corporate,ICE,1
2025,01,FOIMA,Corporate,ICE,8
2025,01,FORD,Corporate,BEV,38
2025,01,FORD,Corporate,ICE,2601
2025,01,FORD,Corporate,PHEV,175
2025,01,FORD,Private,BEV,26
2025,01,FORD,Private,ICE,1662
2025,01,FORD,Private,PHEV,262
2025,01,FORD,RAC,BEV,3
2025,01,FORD,RAC,ICE,548
2025,01,FORD,RAC,PHEV,11
2025,01,FOTON,Corporate,ICE,2
2025,01,FRANGU,RAC,ICE,1
2025,01,FRISACUL,RAC,ICE,4
2025,01,FURCAR,Corporate,ICE,7
2025,01,FUSO,Corporate,ICE,8
2025,01,FUSO,RAC,ICE,1
2025,01,GAPA,Private,ICE,1
2025,01,GARIA,Corporate,BEV,1
2025,01,GBM,Corporate,ICE,3
2025,01,GENERALIFE,Corporate,ICE,1
2025,01,GEYCODIESEL,Corporate,ICE,1
2025,01,GIOTTILINE,Corporate,ICE,1
2025,01,GIOTTILINE,Private,ICE,14
2025,01,GIOTTILINE,RAC,ICE,8
2025,01,GORBEA,Corporate,ICE,1
2025,01,GOUPIL,Corporate,BEV,36
2025,01,GRAU,Corporate,BEV,5
2025,01,GRUAUTO,Corporate,ICE,2
2025,01,GRUAUTO,Private,ICE,1
2025,01,GRUIVOL,RAC,ICE,3
2025,01,GURSOZLER,Corporate,ICE,1
2025,01,HENALES,Corporate,ICE,1
2025,01,HERCOV,Corporate,ICE,3
2025,01,HERCOV,Private,ICE,2
2025,01,HIGER,Corporate,ICE,1
2025,01,HOBBY,RAC,ICE,1
2025,01,HONDA,Corporate,BEV,1
2025,01,HONDA,Corporate,ICE,163
2025,01,HONDA,Corporate,PHEV,1
2025,01,HONDA,Private,ICE,207
2025,01,HONDA,Private,PHEV,2
2025,01,HYMER,Corporate,ICE,1
2025,01,HYMER,Private,ICE,4
2025,01,HYUNDAI,Corporate,BEV,73
2025,01,HYUNDAI,Corporate,ICE,1060
2025,01,HYUNDAI,Corporate,PHEV,90
2025,01,HYUNDAI,Private,BEV,50
2025,01,HYUNDAI,Private,ICE,2321
2025,01,HYUNDAI,Private,PHEV,155
2025,01,HYUNDAI,RAC,ICE,655
2025,01,IGLUVAN,Corporate,ICE,29
2025,01,IGLUVAN,Private,BEV,1
2025,01,IGLUVAN,Private,ICE,2
2025,01,IGLUVAN,RAC,ICE,6
2025,01,ILUSION,Private,ICE,3
2025,01,ILUSION,RAC,ICE,4
2025,01,INCASE,Corporate,ICE,1
2025,01,INDUSAUTO,Corporate,ICE,3
2025,01,INDUSAUTO,Private,ICE,8
2025,01,INEOS,Corporate,ICE,6
2025,01,INFINITI,Corporate,ICE,1
2025,01,INTEGRALIA,Corporate,ICE,4
2025,01,IRIZAR,Corporate,ICE,26
2025,01,IRIZAR,RAC,ICE,7
2025,01,ISUZU,Corporate,ICE,85
2025,01,ISUZU,Private,ICE,5
2025,01,ISUZU,RAC,ICE,6
2025,01,ITINEO,Private,ICE,3
2025,01,ITINEO,RAC,ICE,1
2025,01,IVECO,Corporate,ICE,263
2025,01,IVECO,Private,ICE,24
2025,01,IVECO,RAC,ICE,164
2025,01,IVECO BUS,Corporate,BEV,1
2025,01,IVECO BUS,Corporate,ICE,33
2025,01,IVECO BUS,RAC,ICE,10
2025,01,J. GARCIA,Corporate,ICE,1
2025,01,JAECOO,Corporate,ICE,24
2025,01,JAECOO,Corporate,PHEV,62
2025,01,JAECOO,Private,ICE,188
2025,01,JAECOO,Private,PHEV,2
2025,01,JAECOO,RAC,ICE,5
2025,01,JAECOO,RAC,PHEV,2
2025,01,JAGUAR,Corporate,ICE,7
2025,01,JAGUAR,Corporate,PHEV,3
2025,01,JAGUAR,Private,ICE,3
