anyo,mes,dia,cod_prov,provincia,canal,fuel_type,count
2026,06,03,19,Guadalajara,Private,ICE,18
2026,06,03,19,Guadalajara,Private,PHEV,2
2026,06,03,20,Gipuzkoa,Corporate,ICE,1
2026,06,03,20,Gipuzkoa,Corporate,PHEV,1
2026,06,03,20,Gipuzkoa,Private,BEV,3
2026,06,03,20,Gipuzkoa,Private,ICE,16
2026,06,03,21,Huelva,Corporate,ICE,1
2026,06,03,21,Huelva,Private,BEV,1
2026,06,03,21,Huelva,Private,ICE,8
2026,06,03,21,Huelva,Private,PHEV,1
2026,06,03,22,Huesca,Corporate,BEV,1
2026,06,03,22,Huesca,Corporate,ICE,5
2026,06,03,22,Huesca,Corporate,PHEV,1
2026,06,03,22,Huesca,Private,BEV,1
2026,06,03,22,Huesca,Private,ICE,7
2026,06,03,22,Huesca,Private,PHEV,1
2026,06,03,23,Jaén,Corporate,BEV,1
2026,06,03,23,Jaén,Corporate,ICE,3
2026,06,03,23,Jaén,Private,BEV,2
2026,06,03,23,Jaén,Private,ICE,12
2026,06,03,23,Jaén,Private,PHEV,3
2026,06,03,24,León,Corporate,BEV,1
2026,06,03,24,León,Corporate,ICE,2
2026,06,03,24,León,Private,ICE,6
2026,06,03,24,León,Private,PHEV,2
2026,06,03,24,León,RAC,ICE,1
2026,06,03,25,Lleida,Corporate,BEV,2
2026,06,03,25,Lleida,Corporate,ICE,3
2026,06,03,25,Lleida,Private,BEV,3
2026,06,03,25,Lleida,Private,ICE,11
2026,06,03,25,Lleida,RAC,ICE,3
2026,06,03,26,La Rioja,Corporate,ICE,1
2026,06,03,26,La Rioja,Private,BEV,1
2026,06,03,26,La Rioja,Private,ICE,11
2026,06,03,26,La Rioja,Private,PHEV,1
2026,06,03,27,Lugo,Corporate,ICE,8
2026,06,03,27,Lugo,Private,BEV,3
2026,06,03,27,Lugo,Private,ICE,6
2026,06,03,28,Madrid,Corporate,BEV,101
2026,06,03,28,Madrid,Corporate,ICE,811
2026,06,03,28,Madrid,Corporate,PHEV,100
2026,06,03,28,Madrid,Private,BEV,80
2026,06,03,28,Madrid,Private,ICE,167
2026,06,03,28,Madrid,Private,PHEV,39
2026,06,03,28,Madrid,RAC,BEV,26
2026,06,03,28,Madrid,RAC,ICE,815
2026,06,03,28,Madrid,RAC,PHEV,102
2026,06,03,29,Málaga,Corporate,ICE,25
2026,06,03,29,Málaga,Corporate,PHEV,3
2026,06,03,29,Málaga,Private,BEV,17
2026,06,03,29,Málaga,Private,ICE,32
2026,06,03,29,Málaga,Private,PHEV,5
2026,06,03,30,Murcia,Corporate,BEV,2
2026,06,03,30,Murcia,Corporate,ICE,19
2026,06,03,30,Murcia,Corporate,PHEV,6
2026,06,03,30,Murcia,Private,BEV,24
2026,06,03,30,Murcia,Private,ICE,32
2026,06,03,30,Murcia,Private,PHEV,2
2026,06,03,31,Navarra,Corporate,BEV,2
2026,06,03,31,Navarra,Corporate,ICE,9
2026,06,03,31,Navarra,Corporate,PHEV,1
2026,06,03,31,Navarra,Private,BEV,10
2026,06,03,31,Navarra,Private,ICE,15
2026,06,03,31,Navarra,Private,PHEV,1
2026,06,03,32,Ourense,Private,ICE,6
2026,06,03,33,Asturias,Corporate,BEV,1
2026,06,03,33,Asturias,Corporate,ICE,5
2026,06,03,33,Asturias,Corporate,PHEV,1
2026,06,03,33,Asturias,Private,BEV,7
2026,06,03,33,Asturias,Private,ICE,22
2026,06,03,33,Asturias,Private,PHEV,2
2026,06,03,34,Palencia,Corporate,BEV,1
2026,06,03,34,Palencia,Private,BEV,1
2026,06,03,34,Palencia,Private,ICE,3
2026,06,03,34,Palencia,Private,PHEV,2
2026,06,03,35,Las Palmas,Corporate,BEV,1
2026,06,03,35,Las Palmas,Corporate,ICE,13
2026,06,03,35,Las Palmas,Corporate,PHEV,1
2026,06,03,35,Las Palmas,Private,BEV,6
2026,06,03,35,Las Palmas,Private,ICE,19
2026,06,03,35,Las Palmas,Private,PHEV,3
2026,06,03,35,Las Palmas,RAC,ICE,25
2026,06,03,35,Las Palmas,RAC,PHEV,1
2026,06,03,36,Pontevedra,Corporate,ICE,6
2026,06,03,36,Pontevedra,Corporate,PHEV,6
2026,06,03,36,Pontevedra,Private,BEV,7
2026,06,03,36,Pontevedra,Private,ICE,22
2026,06,03,36,Pontevedra,Private,PHEV,2
2026,06,03,37,Salamanca,Corporate,ICE,1
2026,06,03,37,Salamanca,Private,BEV,1
2026,06,03,37,Salamanca,Private,ICE,9
2026,06,03,38,S.C. Tenerife,Corporate,ICE,11
